"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Public_Citizen: Rise in health insurance premiums due to coronavirus:

USA - up to 40%
Australia 0%
Belgium 0%
Canada 0%
Chile 0%
Denma…",FALSE,0,NA,2020-04-07 15:42:22,FALSE,NA,"1247550290234150912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StepOneAfrica",2479,TRUE,FALSE,NA,NA
"RT @ausgov: Social distancing is essential to slow the spread of coronavirus #COVID19.

Keep your distance from others when shopping for es…",FALSE,0,NA,2020-04-07 15:41:32,FALSE,NA,"1247550082255212544",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lacostabrava",124,TRUE,FALSE,NA,NA
"@InTheLightOfDa3 Here are our State by state requirements - https://t.co/3mTazUNtJe",FALSE,0,"InTheLightOfDa3",2020-04-07 15:41:32,FALSE,"1247548782180360192","1247550081613492224","1240203545615323137","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrittanyLauga",0,FALSE,FALSE,NA,NA
"RT @TheShudraWay: Coronavirus is ""here to stay"".
So there it is. Go take your place on the podium alongside Terror, Drugs, and Poverty.  ht…",FALSE,0,NA,2020-04-07 15:41:32,FALSE,NA,"1247550080200200192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NationOfFrogs",2,TRUE,FALSE,NA,NA
"RT @majorgauravarya: Absolutely hilarious piece by ⁦@dailytelegraph⁩ of Australia. A point by point rebuttal of China’s complaint on their…",FALSE,0,NA,2020-04-07 15:41:31,FALSE,NA,"1247550075548491776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ankit_sinha07",2353,TRUE,FALSE,NA,NA
"RT @ByClare: Slide 3: model of uncontrolled #coronavirus outbreak where entire country gets disease at once with no interventions like soci…",FALSE,0,NA,2020-04-07 15:41:27,FALSE,NA,"1247550061187194880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NatiElizabethO",11,TRUE,FALSE,NA,NA
"RT @Public_Citizen: Rise in health insurance premiums due to coronavirus:

USA - up to 40%
Australia 0%
Belgium 0%
Canada 0%
Chile 0%
Denma…",FALSE,0,NA,2020-04-07 15:41:13,FALSE,NA,"1247550000407560192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","North_Resists",2479,TRUE,FALSE,NA,NA
"RT @Public_Citizen: Rise in health insurance premiums due to coronavirus:

USA - up to 40%
Australia 0%
Belgium 0%
Canada 0%
Chile 0%
Denma…",FALSE,0,NA,2020-04-07 15:41:09,FALSE,NA,"1247549984066715648",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","wildermain",2479,TRUE,FALSE,NA,NA
"RT @allan_crawshaw: More than 400 coronavirus cases ~ 10% of Australia's total ~ are from the Ruby Princess cruise ship!

⬇️
https://t.co/Q…",FALSE,0,NA,2020-04-07 15:40:36,FALSE,NA,"1247549848464666626",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","allan_crawshaw",5,TRUE,FALSE,NA,NA
"RT @Public_Citizen: Rise in health insurance premiums due to coronavirus:

USA - up to 40%
Australia 0%
Belgium 0%
Canada 0%
Chile 0%
Denma…",FALSE,0,NA,2020-04-07 15:39:48,FALSE,NA,"1247549644428599296",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JTNendza",2479,TRUE,FALSE,NA,NA
"RT @7NewsSydney: Australia now has 5796 coronavirus cases. 41 Australians have died from COVID-19 and almost half of them are in New South…",FALSE,0,NA,2020-04-07 15:39:09,FALSE,NA,"1247549481920462854",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fiorellaf",85,TRUE,FALSE,NA,NA
"RT @TheShudraWay: Coronavirus is ""here to stay"".
So there it is. Go take your place on the podium alongside Terror, Drugs, and Poverty.  ht…",FALSE,0,NA,2020-04-07 15:39:03,FALSE,NA,"1247549455257210885",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lysanderfork",2,TRUE,FALSE,NA,NA
"RT @LyndaFrench19: So Liberals broke regulations to bring this #drug into Australia, hoping it will be a solution for a #Coronavirus vaccin…",FALSE,0,NA,2020-04-07 15:38:53,FALSE,NA,"1247549413645381634",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nobby15",10,TRUE,FALSE,NA,NA
"RT @Brooklynmonk: ""Workers from #Chinese real estate co. Poly Developments and Holdings were told to urgently find masks... were strongly e…",FALSE,0,NA,2020-04-07 15:38:45,FALSE,NA,"1247549379826683906",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChanNoelle",10,TRUE,FALSE,NA,NA
"RT @Public_Citizen: Rise in health insurance premiums due to coronavirus:

USA - up to 40%
Australia 0%
Belgium 0%
Canada 0%
Chile 0%
Denma…",FALSE,0,NA,2020-04-07 15:38:34,FALSE,NA,"1247549335300079619",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","emariemacg",2479,TRUE,FALSE,NA,NA
"RT @Public_Citizen: Rise in health insurance premiums due to coronavirus:

USA - up to 40%
Australia 0%
Belgium 0%
Canada 0%
Chile 0%
Denma…",FALSE,0,NA,2020-04-07 15:38:14,FALSE,NA,"1247549251984424966",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","WildeOscarCat",2479,TRUE,FALSE,NA,NA
"RT @ProbablyPhoebus: January: World War 3
February: Australia is on fire
March: Coronavirus
April: https://t.co/qEoUFgT4wb",FALSE,0,NA,2020-04-07 15:38:12,FALSE,NA,"1247549242404716548",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","YoungbinGFX",1,TRUE,FALSE,NA,NA
"RT @haaretzcom: “It’s not like some ultra-Orthodox Jews in Israel who still don’t understand what the government is requiring and what is b…",FALSE,0,NA,2020-04-07 15:38:07,FALSE,NA,"1247549220103561217",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PeterSeller9",2,TRUE,FALSE,NA,NA
"RT @Public_Citizen: Rise in health insurance premiums due to coronavirus:

USA - up to 40%
Australia 0%
Belgium 0%
Canada 0%
Chile 0%
Denma…",FALSE,0,NA,2020-04-07 15:38:06,FALSE,NA,"1247549216903266304",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","gglasgow73",2479,TRUE,FALSE,NA,NA
"RT @TurkishMinuteTM: Turkish parliament debates coronavirus release bill that excludes political prisoners: report https://t.co/BGCgb9IPIg",FALSE,0,NA,2020-04-07 15:38:03,FALSE,NA,"1247549206153187329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AFD_AUSTRALIA",2,TRUE,FALSE,NA,NA
"January: World War 3
February: Australia is on fire
March: Coronavirus
April: https://t.co/qEoUFgT4wb",FALSE,3,NA,2020-04-07 15:37:48,FALSE,NA,"1247549141506555906",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ProbablyPhoebus",1,FALSE,FALSE,NA,NA
