"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @BloombergCA: Meet the 17-year-old behind one of the largest coronavirus-tracking websites in the world https://t.co/hOgwtQ82vs (Video v…",FALSE,0,NA,2020-04-07 14:10:55,FALSE,NA,"1247527277484634116",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__Frenchey",2,TRUE,FALSE,NA,NA
"RT @Franktmcveety: In Late January, Trudeau Said Canada Was ""Very Well Prepared"" For Coronavirus. So Why Do We Have A Massive Shortage Of M…",FALSE,0,NA,2020-04-07 14:10:53,FALSE,NA,"1247527268596895745",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cannonbalkid",75,TRUE,FALSE,NA,NA
"RT @CBCNews: This is a new, scary world, and for many children and young people across the country it has led to soaring levels of anxiety.…",FALSE,0,NA,2020-04-07 14:10:48,FALSE,NA,"1247527248241913856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thepracticeyyc",6,TRUE,FALSE,NA,NA
".@gwsa On Monday, April 6, Canada’s chief public health officer, Dr. Theresa Tam suggested the population wear mask… https://t.co/jBaLMqtT1q",FALSE,0,NA,2020-04-07 14:10:48,TRUE,NA,"1247527248044777480",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","gwsa",0,FALSE,FALSE,NA,NA
"I love this https://t.co/Z1NnLG1BX3",FALSE,0,NA,2020-04-07 14:10:47,FALSE,NA,"1247527243028422656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aleexl",0,FALSE,FALSE,NA,NA
"RT @CBCAlerts: An Ontario nursing home besieged by COVID-19 didn't separate healthy from sick residents or staff until after 16 people had…",FALSE,0,NA,2020-04-07 14:10:31,FALSE,NA,"1247527176406089729",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RikiMme",114,TRUE,FALSE,NA,NA
"RT @BillEllson: Why is British Columbia flattening the COVID-19 curve while numbers in central Canada surge? 
https://t.co/bEShjHtrh2 
#COV…",FALSE,0,NA,2020-04-07 14:10:31,FALSE,NA,"1247527175995056128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_shutupandreaa",2,TRUE,FALSE,NA,NA
"Check out Canada's lockdown welfare package for her Citizens against the backdrop of  #coronavirus #COVID19 

It's… https://t.co/nnHMqw2tgA",FALSE,1,NA,2020-04-07 14:10:20,TRUE,NA,"1247527129505382405",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SimplyDejiccfr",0,FALSE,FALSE,NA,NA
"RT @CBCTBay: .⁦@TBDHealthUnit⁩ Thunder Bay District Health Unit launches phone line to report COVID-19 order violations #tbay 
https://t.co…",FALSE,0,NA,2020-04-07 14:10:18,FALSE,NA,"1247527120957353986",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tmackay68",2,TRUE,FALSE,NA,NA
"RT @CBCNews: Respiratory therapists will be caring for the sickest of COVID-19's victims. One who was supposed to retire March 31 went back…",FALSE,0,NA,2020-04-07 14:10:16,FALSE,NA,"1247527113474707463",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","politicolucy",176,TRUE,FALSE,NA,NA
