"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @TheScoop_US: Coronavirus Should Be Forever Linked To Chinese Regime That Facilitated Its Spread.  

RT if you want #China to held accou…",FALSE,0,NA,2020-04-07 15:02:59,FALSE,NA,"1247540379492028423",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Poliver5",4,TRUE,FALSE,NA,NA
"RT @TribulationThe: BOOM! China, you are BUSTED! 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸

US Army Colonel: Coronavirus Was Leaked From A Chinese Lab!

https://t.co/OqrO…",FALSE,0,NA,2020-04-07 15:02:59,FALSE,NA,"1247540379253010433",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","barbmic",40,TRUE,FALSE,NA,NA
"RT @amandataub: China. Italy. Spain. France. Britain. The grim pattern is clear: as countries lock down, ‘intimate terrorism’ — the term ma…",FALSE,0,NA,2020-04-07 15:02:59,FALSE,NA,"1247540378804187137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sib_Pat",617,TRUE,FALSE,NA,NA
"Justin Haskins: Despite coronavirus deceptions, China would gain more power under Dems' energy policies https://t.co/iXFpuMtecn #FoxNews",FALSE,0,NA,2020-04-07 15:02:58,FALSE,NA,"1247540375557832704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VISITKRD",0,FALSE,FALSE,NA,NA
"RT @NBCNews: U.S. reports 1,264 coronavirus deaths in over 24 hours.

Meanwhile in China, where the pandemic broke out, not a single new co…",FALSE,0,NA,2020-04-07 15:02:57,FALSE,NA,"1247540372969938945",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mavino001",685,TRUE,FALSE,NA,NA
"RT @meghamohan: Avi Schiffmann is 17. He built a website to track Coronavirus numbers in late December, when it had not yet been detected o…",FALSE,0,NA,2020-04-07 15:02:57,FALSE,NA,"1247540371631902723",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","penne_passa",387,TRUE,FALSE,NA,NA
"RT @KanchanGupta: UK Government’s new #Covid19 testing chief admits 'none of the 3.5 million antibody tests ordered from #China are fit for…",FALSE,0,NA,2020-04-07 15:02:57,FALSE,NA,"1247540370889519109",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","puneetsarna",381,TRUE,FALSE,NA,NA
"RT @CNN: China's state-run Xinhua news agency has released its official timeline of the coronavirus pandemic.

It makes no mention of inter…",FALSE,0,NA,2020-04-07 15:02:57,FALSE,NA,"1247540370704961537",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Louis802002",596,TRUE,FALSE,NA,NA
"RT @TomFitton: Peter Navarro should be at the WH briefings with @RealDonaldTrump. He correctly warned about China-#coronavirus threat. And…",FALSE,0,NA,2020-04-07 15:02:54,FALSE,NA,"1247540358327627776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanielC29587864",582,TRUE,FALSE,NA,NA
"RT @ChinaInFocusNTD: A funeral home director in Taiwan recently received an urgent order of 200,000 body bags from China. This comes as mor…",FALSE,0,NA,2020-04-07 15:02:53,FALSE,NA,"1247540354607280133",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","NatAlmeida15",246,TRUE,FALSE,NA,NA
