"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @tomphillipsin: To give you a sense of the scale of the coronavirus tragedy currently unfolding in Guayaquil, Ecuador. The mayor @Cynthi…",FALSE,0,NA,2020-04-07 14:39:17,FALSE,NA,"1247534415359557633",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jlsilvavd",73,TRUE,FALSE,NA,NA
"RT @Eddie20937506: https://t.co/swBIQJoE9S #Ecuador | #Guayaquil 03 containers full of dead bodies d #Coronavirus",FALSE,0,NA,2020-04-07 14:39:16,FALSE,NA,"1247534410812887040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hochrein53680",68,TRUE,FALSE,NA,NA
"But in Nigeria we exercise together on the road. Like dumbheads! Until this starts to happen. Look at Ecuador!!!!!… https://t.co/xMFGOyjTD1",FALSE,0,NA,2020-04-07 14:37:36,TRUE,NA,"1247533994029154304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kachi208",0,FALSE,FALSE,NA,NA
"RT @bmangh: Ecuador is using cardboard boxes to bury dead amid coronavirus pandemic - CBS News
https://t.co/9PYunOohjD",FALSE,0,NA,2020-04-07 14:37:17,FALSE,NA,"1247533912848347141",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","careerfed",1,TRUE,FALSE,NA,NA
"RT @tomphillipsin: To give you a sense of the scale of the coronavirus tragedy currently unfolding in Guayaquil, Ecuador. The mayor @Cynthi…",FALSE,0,NA,2020-04-07 14:36:24,FALSE,NA,"1247533691930198018",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","95Claudio_",73,TRUE,FALSE,NA,NA
"RT @BeatrixPotterE: Dear @LassoGE did you know that @BillGates advocates that “The rich should pay more” calling for higher taxes on the we…",FALSE,0,NA,2020-04-07 14:35:43,FALSE,NA,"1247533516725735428",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jkfiallos",31,TRUE,FALSE,NA,NA
"RT @bbcworldservice: Cardboard coffins are being used to bury #coronavirus victims in Ecuador https://t.co/I2hM0B5F0C",FALSE,0,NA,2020-04-07 14:34:56,FALSE,NA,"1247533321715769344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarfanSyndrome1",184,TRUE,FALSE,NA,NA
"RT @tomphillipsin: To give you a sense of the scale of the coronavirus tragedy currently unfolding in Guayaquil, Ecuador. The mayor @Cynthi…",FALSE,0,NA,2020-04-07 14:34:08,FALSE,NA,"1247533120221372420",NA,"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","umit_k",73,TRUE,FALSE,NA,NA
"Ecuador distributes cardboard coffins to cope with virus https://t.co/DSQ7WWJevQ",FALSE,0,NA,2020-04-07 14:33:07,FALSE,NA,"1247532862401703947",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","swissbusiness",0,FALSE,FALSE,NA,NA
"Ecuador distributes cardboard coffins to cope with Covid-19
https://t.co/gdDjwiyclN",FALSE,0,NA,2020-04-07 14:31:57,FALSE,NA,"1247532572155863045",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tqm_lb",0,FALSE,FALSE,NA,NA
"RT @bbcworldservice: Cardboard coffins are being used to bury #coronavirus victims in Ecuador https://t.co/I2hM0B5F0C",FALSE,0,NA,2020-04-07 14:29:34,FALSE,NA,"1247531972202606594",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dgaliger2",184,TRUE,FALSE,NA,NA
"RT @Gerrrty: #Guayaquil: Corpses in the street and in people's homes as Ecuador struggles to cope with #coronavirus outbreak #COVID 
 https…",FALSE,0,NA,2020-04-07 14:29:19,FALSE,NA,"1247531909824917508",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hochrein53680",14,TRUE,FALSE,NA,NA
"Ecuador distributes cardboard coffins to cope with Covid-19
https://t.co/2n9ZSiENE2",FALSE,0,NA,2020-04-07 14:28:58,FALSE,NA,"1247531818250731522",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mindthewords",0,FALSE,FALSE,NA,NA
"RT @shaistaAziz: This is a tragedy for beautiful Ecuador and the wider region as fear over #COVID19 increases. 
The city of Guayaquil, Ecua…",FALSE,0,NA,2020-04-07 14:27:43,FALSE,NA,"1247531506722992128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mara_Anas",2,TRUE,FALSE,NA,NA
