"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Public_Citizen: Rise in health insurance premiums due to coronavirus:

USA - up to 40%
Australia 0%
Belgium 0%
Canada 0%
Chile 0%
Denma…",FALSE,0,NA,2020-04-07 13:46:26,FALSE,NA,"1247521113824841729",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","xehtezez",2188,TRUE,FALSE,NA,NA
"RT @AFPphoto: #Coronavirus #COVID19 #France Undocumented immigrants make home made protective facemasks for a charitable organisation in Pa…",FALSE,0,NA,2020-04-07 13:46:22,FALSE,NA,"1247521099086266368",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","nidhisingh_",7,TRUE,FALSE,NA,NA
"RT @amandataub: China. Italy. Spain. France. Britain. The grim pattern is clear: as countries lock down, ‘intimate terrorism’ — the term ma…",FALSE,0,NA,2020-04-07 13:46:22,FALSE,NA,"1247521097442091008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bootsy11199",418,TRUE,FALSE,NA,NA
"RT @RT_com: With #COVID19 raging around the globe, healthcare systems are under pressure to protect their medical personnel from the corona…",FALSE,0,NA,2020-04-07 13:46:22,FALSE,NA,"1247521097433509888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RajMeister",88,TRUE,FALSE,NA,NA
"RT @amandataub: China. Italy. Spain. France. Britain. The grim pattern is clear: as countries lock down, ‘intimate terrorism’ — the term ma…",FALSE,0,NA,2020-04-07 13:46:21,FALSE,NA,"1247521094052876291",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mymelo_man",418,TRUE,FALSE,NA,NA
"https://t.co/kxyOvrP3U6  
new video
#Europe #Romania #COVID #TrendingNow #COVID19 #bucharest #cluj #staysafe #uk… https://t.co/ve9GMLCtBi",FALSE,0,NA,2020-04-07 13:46:20,TRUE,NA,"1247521090173202433",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","efixteam",0,FALSE,FALSE,NA,NA
"RT @ABC: CORONAVIRUS LATEST: https://t.co/iW1TZcjwqB

— U.S. death toll nears 11,000.
— Cases top 10,000 in Africa.
— France has not yet pe…",FALSE,0,NA,2020-04-07 13:46:18,FALSE,NA,"1247521081046392833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dracarysdemon",120,TRUE,FALSE,NA,NA
"RT @realTuckFrumper: France begins clinical trials of coronavirus blood plasma treatment https://t.co/Kjl6KpPfuP",FALSE,0,NA,2020-04-07 13:46:17,FALSE,NA,"1247521079410724864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","judemt1",2,TRUE,FALSE,NA,NA
"France reports highest coronavirus death tally in 24 hours; health minister warns pandemic has not peaked | Fox News https://t.co/aVHyctTPbD",FALSE,0,NA,2020-04-07 13:46:07,FALSE,NA,"1247521036985413632",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","JoinPatriotify",0,FALSE,FALSE,NA,NA
"How cool is this?!? @cps_cchs @CMS_ConcordMA #coronavirus #covid19
https://t.co/uqWyHsS72l",FALSE,0,NA,2020-04-07 13:46:04,FALSE,NA,"1247521022246449152",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","RobertJFucci",0,FALSE,FALSE,NA,NA
"RT @QuickTake: 🇫🇷 LOOK: Drone footage shows abandoned avenues in sunny Paris as France maintains its #coronavirus lockdown.

Nearly 99,000…",FALSE,0,NA,2020-04-07 13:46:01,FALSE,NA,"1247521009848090626",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","J_Evriyanto",72,TRUE,FALSE,NA,NA
"RT @amandataub: China. Italy. Spain. France. Britain. The grim pattern is clear: as countries lock down, ‘intimate terrorism’ — the term ma…",FALSE,0,NA,2020-04-07 13:46:01,FALSE,NA,"1247521009000796165",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AzXango",418,TRUE,FALSE,NA,NA
"Coronavirus: Paris 'approaching peak' of cases says expert https://t.co/4DrAkENeRq",FALSE,0,NA,2020-04-07 13:45:58,FALSE,NA,"1247521000461238273",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Polly_Politics",0,FALSE,FALSE,NA,NA
"RT @reuterspictures: A COVID-19 patient is treated at the intensive care unit of the Institut Mutualiste Montsouris in Paris, France. More…",FALSE,0,NA,2020-04-07 13:45:55,FALSE,NA,"1247520984757755913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_khalilus",1,TRUE,FALSE,NA,NA
"RT @ChloeTvan: #France supporting #SouthAfrica w. a plan to help #Africa deal with #coronavirus - 4 pillars: 
1. Boost African health capac…",FALSE,0,NA,2020-04-07 13:45:52,FALSE,NA,"1247520971814141966",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Markbohlund",1,TRUE,FALSE,NA,NA
"How cool is this?!? @cps_cchs @CMS_ConcordMA #coronavirus #covid19
https://t.co/GFulTfMrxD",FALSE,0,NA,2020-04-07 13:45:50,FALSE,NA,"1247520966537875456",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","concordjournal",0,FALSE,FALSE,NA,NA
"France coronavirus lockdown: Paris bans all outdoor exercise | World | News | https://t.co/hfAqS4T1r3 https://t.co/4DrAkENeRq",FALSE,0,NA,2020-04-07 13:45:45,FALSE,NA,"1247520942923776005",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Polly_Politics",0,FALSE,FALSE,NA,NA
"RT @realTuckFrumper: France begins clinical trials of coronavirus blood plasma treatment https://t.co/Kjl6KpPfuP",FALSE,0,NA,2020-04-07 13:45:38,FALSE,NA,"1247520912854794242",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BerglundHess",2,TRUE,FALSE,NA,NA
