"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @PrinceArihan: After clapping, lighting diyas; if I had one suggestion for @narendramodi towards his national unity and motivational eff…",FALSE,0,NA,2020-04-07 15:03:35,FALSE,NA,"1247540531506204672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SohanHind",642,TRUE,FALSE,NA,NA
"India has crossed 5100 cases, and breached a 150 death mark. 😔
#Coronavirus #Covid_19",FALSE,0,NA,2020-04-07 15:03:35,FALSE,NA,"1247540531271364609",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rutik_s",0,FALSE,FALSE,NA,NA
"RT @PrachiBJP: #IndiaTrustsPMModi Do you trust PM Modi's leadership will get India safely out of #Coronavirus crisis.",FALSE,0,NA,2020-04-07 15:03:32,FALSE,NA,"1247540520642994196",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Padiram",6,TRUE,FALSE,NA,NA
"RT @NewIndianXpress: 508 more #COVID_19 positive cases and 13 deaths reported in the last 24 hours, taking India tally to 4,789, said Minis…",FALSE,0,NA,2020-04-07 15:03:32,FALSE,NA,"1247540518961033218",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TTeerandaz",3,TRUE,FALSE,NA,NA
"RT @ABPNews: #COVID19Pandemic : One Patient Can Infect Over 400 People In 30 Days, Says #ICMR Study

Details: https://t.co/2SOg6F6Bsi https…",FALSE,0,NA,2020-04-07 15:03:32,FALSE,NA,"1247540518185132032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KunjaBihariMo14",21,TRUE,FALSE,NA,NA
"RT @ProfCong: Ban government ads, stop the ""self-indulgent"" Rs 20,000 Crore ""beautification drive"" in Delhi and suspend official foreign to…",FALSE,0,NA,2020-04-07 15:03:32,FALSE,NA,"1247540517094584321",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Sarwar_H_Ansari",583,TRUE,FALSE,NA,NA
"RT @TheQuint: Muslim family attacked for not following PM's ""lights off"" campaign in Haryana, mosques  targetted in Karnataka and Muslim fr…",FALSE,0,NA,2020-04-07 15:03:32,FALSE,NA,"1247540516645777418",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","healingtouchhh",42,TRUE,FALSE,NA,NA
"RT @timesofindia: In 4 days, Kerala govt transforms portion of yet-to-be-completed medical college and hospital in Kasaragod into Covid-19…",FALSE,0,NA,2020-04-07 15:03:31,FALSE,NA,"1247540514741579778",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HeatherUpadhyay",1,TRUE,FALSE,NA,NA
"RT @SouleFacts: Coronavirus: Central govt contemplates extending lockdown after three-week period ends https://t.co/N1kYKRULqU",FALSE,0,NA,2020-04-07 15:03:31,FALSE,NA,"1247540512992587778",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PrdeepKNautiyal",2,TRUE,FALSE,NA,NA
"RT @NazemNaqvi: Author @TarekFatah calls for ban on #TablighiJamaat; asks authorities to seal Jamaat's #NizamuddinMarkaj in Delhi as a crim…",FALSE,0,NA,2020-04-07 15:03:30,FALSE,NA,"1247540510819901440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","unic_heart",90,TRUE,FALSE,NA,NA
"RT @NH_India: Despite all possible #medical and #clinical measures, #coronavirus continues to expand its footprint in #MadhyaPradesh. In th…",FALSE,0,NA,2020-04-07 15:03:30,FALSE,NA,"1247540508462743553",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jatinderSahni4",2,TRUE,FALSE,NA,NA
"RT @AsYouNotWish: Tablighi jamaat faces international backlash for spreading coronavirus infections. After India, Pakistan and Malaysian al…",FALSE,0,NA,2020-04-07 15:03:28,FALSE,NA,"1247540503999991808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DamleNiranjan",159,TRUE,FALSE,NA,NA
"RT @TomFitton: Dear anti-@realDonaldTrump media, India approved #Hydroxychloroquine's use as a PREVENTATIVE for #coronavirus.",FALSE,0,NA,2020-04-07 15:03:28,FALSE,NA,"1247540503446294544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","snyderart2012",852,TRUE,FALSE,NA,NA
"RT @swati_gs: “The News Broadcasters Association, a collective of news and current affairs broadcasters, said on Monday journalists reporti…",FALSE,0,NA,2020-04-07 15:03:28,FALSE,NA,"1247540501781217281",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kachoomar",71,TRUE,FALSE,NA,NA
"RT @TheQuint: Muslim family attacked for not following PM's ""lights off"" campaign in Haryana, mosques  targetted in Karnataka and Muslim fr…",FALSE,0,NA,2020-04-07 15:03:27,FALSE,NA,"1247540497385545736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Oh_Jeezz",42,TRUE,FALSE,NA,NA
