"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"US stocks rose Tuesday, continuing Monday's rally, as investors were encouraged by signs that the coronavirus pande… https://t.co/5yPM1Norri",FALSE,0,NA,2020-04-07 13:46:02,TRUE,NA,"1247521015879684096",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","businessinsider",0,FALSE,FALSE,NA,NA
"RT @amandataub: China. Italy. Spain. France. Britain. The grim pattern is clear: as countries lock down, ‘intimate terrorism’ — the term ma…",FALSE,0,NA,2020-04-07 13:46:01,FALSE,NA,"1247521009000796165",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AzXango",416,TRUE,FALSE,NA,NA
"RT @cnni: Police in Italy say they are concerned about the mafia infiltrating ""basic needs"" sectors of industry and society during the coro…",FALSE,0,NA,2020-04-07 13:45:59,FALSE,NA,"1247521000964546564",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MonicaTedde",33,TRUE,FALSE,NA,NA
"RT @demosisto: After #China made a high-profile attempt to rebrand itself as the “survivor of the world”, Spectator reports that China forc…",FALSE,0,NA,2020-04-07 13:45:58,FALSE,NA,"1247520998762541061",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","free_hkg",229,TRUE,FALSE,NA,NA
"RT @adrianbye: Does Italy Have More COVID19 Deaths Than South Korea Because They're Not Prescribing Chloroquine?

https://t.co/4zmpO5YRpC",FALSE,0,NA,2020-04-07 13:45:57,FALSE,NA,"1247520993947648000",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CatTrainTrump",45,TRUE,FALSE,NA,NA
"RT @nytimes: In Opinion

""For insecure workers across the world, the siren is ringing,"" write Bethan Jones and Fabio Montale. https://t.co/…",FALSE,0,NA,2020-04-07 13:45:56,FALSE,NA,"1247520991917608960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lisajeanapple",33,TRUE,FALSE,NA,NA
"RT @nytimes: In Opinion

""For insecure workers across the world, the siren is ringing,"" write Bethan Jones and Fabio Montale. https://t.co/…",FALSE,0,NA,2020-04-07 13:45:56,FALSE,NA,"1247520989434400769",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","IcarusAlso",33,TRUE,FALSE,NA,NA
"RT @EU_Commission: They are the true faces of #EUsolidarity:

A team of doctors and nurses from Romania and Norway will be immediately disp…",FALSE,0,NA,2020-04-07 13:45:56,FALSE,NA,"1247520988880760832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Stunada",315,TRUE,FALSE,NA,NA
"RT @picardonhealth: ""The desperation is taking its toll"" - Italy Is Sending Another Warning. This is what a country a month into lockdown l…",FALSE,0,NA,2020-04-07 13:45:53,FALSE,NA,"1247520977472413697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chuddles11",11,TRUE,FALSE,NA,NA
"RT @EdronChk: WHO director faces calls to resign for 'allowing China to cover up true impact of coronavirus'. #WuhanVirus #Coronavirus #Tai…",FALSE,0,NA,2020-04-07 13:45:51,FALSE,NA,"1247520970346135559",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ReviveTheUSA",4,TRUE,FALSE,NA,NA
"Milan lacks Rome's ancient ruins, the renaissance splendor of Florence, the canals of Venice. But it will be the en… https://t.co/dDMgvdCRRI",FALSE,0,NA,2020-04-07 13:45:49,TRUE,NA,"1247520960468488194",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DeadiCarta",0,FALSE,FALSE,NA,NA
"RT @MarkAmesExiled: Been saying for awhile now the  actual US death toll is far worse than the official figure. Same with Italy. You can se…",FALSE,0,NA,2020-04-07 13:45:47,FALSE,NA,"1247520952646320128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TimberGhost7",204,TRUE,FALSE,NA,NA
"RT @GeorgiaLogCabin: China forced Italy to buy back donated medical supplies https://t.co/lxfiWQCD0N",FALSE,0,NA,2020-04-07 13:45:41,FALSE,NA,"1247520928197681152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LandesOne",17,TRUE,FALSE,NA,NA
"RT @Faytuks: #BREAKING🚨 - Italy is preparing to implement countrywide ""immunity testing"" so that people with #COVID19 antibodies can go bac…",FALSE,0,NA,2020-04-07 13:45:39,FALSE,NA,"1247520917908938761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ghostlove17",20,TRUE,FALSE,NA,NA
