"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @NathanielParish: .@shannonkoneil explains:

#AMLO ""revealed his limits as a leader &amp; leaves Mexico unprepared to face the pandemic, res…",FALSE,0,NA,2020-04-07 14:11:12,FALSE,NA,"1247527348666163200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","theuniongap",53,TRUE,FALSE,NA,NA
"RT @richardjensor: On Friday I interviewed Hugo López-Gatell, the public face of Mexico’s response to the coronavirus. Here is the English…",FALSE,0,NA,2020-04-07 14:11:00,FALSE,NA,"1247527299185922051",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","danieldarkvai",850,TRUE,FALSE,NA,NA
"RT @WSJForero: Some 500 wealthy Mexicans spent winter vacation at Vail. Fifty had Covid-19 by time they got home, including the stock excha…",FALSE,0,NA,2020-04-07 14:10:57,FALSE,NA,"1247527284401008642",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Arggguelles",26,TRUE,FALSE,NA,NA
"RT @shannonkoneil: #COVID19 isn't sparing #Mexico, and #AMLO's response is making it all the worse. My thoughts for @bopinion  https://t.co…",FALSE,0,NA,2020-04-07 14:10:56,FALSE,NA,"1247527280538083329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mariamedina_A",51,TRUE,FALSE,NA,NA
"RT @prestevez: “Lopez Obrador’s big political and economic project, the Fourth Transformation, will founder. He will have only himself to b…",FALSE,0,NA,2020-04-07 14:10:50,FALSE,NA,"1247527258014670851",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tony_F_Blinder",6,TRUE,FALSE,NA,NA
"RT @WSJForero: Some 500 wealthy Mexicans spent winter vacation at Vail. Fifty had Covid-19 by time they got home, including the stock excha…",FALSE,0,NA,2020-04-07 14:10:49,FALSE,NA,"1247527250414538757",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wyndovelh",26,TRUE,FALSE,NA,NA
"RT @WSJForero: Some 500 wealthy Mexicans spent winter vacation at Vail. Fifty had Covid-19 by time they got home, including the stock excha…",FALSE,0,NA,2020-04-07 14:10:46,FALSE,NA,"1247527240851574785",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pedro66103675",26,TRUE,FALSE,NA,NA
"RT @WSJForero: Some 500 wealthy Mexicans spent winter vacation at Vail. Fifty had Covid-19 by time they got home, including the stock excha…",FALSE,0,NA,2020-04-07 14:10:44,FALSE,NA,"1247527233146589184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GrunsPierdant",26,TRUE,FALSE,NA,NA
"RT @WSJForero: Some 500 wealthy Mexicans spent winter vacation at Vail. Fifty had Covid-19 by time they got home, including the stock excha…",FALSE,0,NA,2020-04-07 14:10:37,FALSE,NA,"1247527202956046337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MAYELAHJ",26,TRUE,FALSE,NA,NA
"RT @WSJForero: Some 500 wealthy Mexicans spent winter vacation at Vail. Fifty had Covid-19 by time they got home, including the stock excha…",FALSE,0,NA,2020-04-07 14:10:35,FALSE,NA,"1247527194160582656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SalasChacon",26,TRUE,FALSE,NA,NA
