"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 15:27:40,FALSE,NA,"1247546593198239744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","swatisharma7700",106,TRUE,FALSE,NA,NA
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 15:15:30,FALSE,NA,"1247543531624792068",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NgtAdriana",106,TRUE,FALSE,NA,NA
"To help with post-coronavirus efforts, CINZ is launching a recovery event — Be Reconnected — for the #meetings indu… https://t.co/1l2wIDp9Am",FALSE,0,NA,2020-04-07 15:15:00,TRUE,NA,"1247543403417497617",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SuccessfulMtgs",0,FALSE,FALSE,NA,NA
"RT @StephenMcDonell: Analysis of #NewZealand's response to the #coronavirus #covid19...      https://t.co/cVpacWqg1A",FALSE,0,NA,2020-04-07 15:14:34,FALSE,NA,"1247543297297408003",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wisteriameadow",12,TRUE,FALSE,NA,NA
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 15:11:15,FALSE,NA,"1247542461053825024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lisa_hartog",106,TRUE,FALSE,NA,NA
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 15:08:46,FALSE,NA,"1247541835389517824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NufcedKevin",106,TRUE,FALSE,NA,NA
"The #ToothFairy and #EasterBunny considered “Essential Workers” in #NewZealand #coronavirus https://t.co/8aGughAfIQ",FALSE,0,NA,2020-04-07 15:03:36,FALSE,NA,"1247540535180414976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tvnooz",0,FALSE,FALSE,NA,NA
"RT @sanjanah: Couldn't agree more | Three reasons why Jacinda Ardern’s coronavirus response has been a masterclass in crisis leadership htt…",FALSE,0,NA,2020-04-07 14:58:36,FALSE,NA,"1247539275748356101",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Thass283",10,TRUE,FALSE,NA,NA
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 14:56:39,FALSE,NA,"1247538784532455425",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RickNoe1701",106,TRUE,FALSE,NA,NA
"RT @arabnews: Billions of people worldwide are staying home to curb the spread of #COVID19, while essential workers are allowed to carry ou…",FALSE,0,NA,2020-04-07 14:54:05,FALSE,NA,"1247538140060856320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shadeedahmadkh4",7,TRUE,FALSE,NA,NA
"#NewZealand PM @jacindaardern says tooth fairy and Easter bunny are 'essential workers'. #Covid_19 #Coronavirus… https://t.co/exzyKuV6Tb",FALSE,0,NA,2020-04-07 14:53:29,TRUE,NA,"1247537989430816769",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Moritzbhg",0,FALSE,FALSE,NA,NA
"RT @sanjanah: Couldn't agree more | Three reasons why Jacinda Ardern’s coronavirus response has been a masterclass in crisis leadership htt…",FALSE,0,NA,2020-04-07 14:53:26,FALSE,NA,"1247537978257244160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KariyawasamP",10,TRUE,FALSE,NA,NA
"RT @arabnews: Billions of people worldwide are staying home to curb the spread of #COVID19, while essential workers are allowed to carry ou…",FALSE,0,NA,2020-04-07 14:51:58,FALSE,NA,"1247537607451402240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Imtiyaz72150686",7,TRUE,FALSE,NA,NA
"New Zealand’s Prime Minister @jacindaardern is giving most Western politicians a masterclass in crisis leadership.… https://t.co/nxDDRnJ1kX",FALSE,0,NA,2020-04-07 14:47:44,TRUE,NA,"1247536544077893635",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","_TrilogyEffect",0,FALSE,FALSE,NA,NA
"RT @Reuters: New Zealand demotes minister for coronavirus lockdown breach, extends emergency https://t.co/IFH2m6xZ04 Follow our live blog f…",FALSE,0,NA,2020-04-07 14:44:20,FALSE,NA,"1247535687638732802",NA,"<a href=""https://twitterrific.com/ios"" rel=""nofollow"">Twitterrific for iOS</a>","catsandtech",85,TRUE,FALSE,NA,NA
"RT @arabnews: Billions of people worldwide are staying home to curb the spread of #COVID19, while essential workers are allowed to carry ou…",FALSE,0,NA,2020-04-07 14:44:15,FALSE,NA,"1247535667950710785",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aamirha1234",7,TRUE,FALSE,NA,NA
"Billions of people worldwide are staying home to curb the spread of #COVID19, while essential workers are allowed t… https://t.co/fCZZzl67p0",FALSE,14,NA,2020-04-07 14:42:53,TRUE,NA,"1247535323845820418",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","arabnews",7,FALSE,FALSE,NA,NA
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 14:39:06,FALSE,NA,"1247534369431941121",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngelaS02190048",106,TRUE,FALSE,NA,NA
"RT @AlxWrghtTwtr: A wonderful example of empathy and kindness in the midst of a crisis, specifically aimed at children who might not fully…",FALSE,0,NA,2020-04-07 14:35:20,FALSE,NA,"1247533422475538433",NA,"<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix 2</a>","steeple3k",3,TRUE,FALSE,NA,NA
"#Coronavirus : #NZ health minister breaks lockdown at beach
https://t.co/sXngsnfedu #NewZealand",FALSE,0,NA,2020-04-07 14:33:39,FALSE,NA,"1247532996585897989",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shanaliag25",0,FALSE,FALSE,NA,NA
"RT @Reuters: New Zealand demotes minister for coronavirus lockdown breach, extends emergency https://t.co/wxPtHd5uXT Follow the latest news…",FALSE,0,NA,2020-04-07 14:29:54,FALSE,NA,"1247532052804546561",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DeanBarron7",62,TRUE,FALSE,NA,NA
"RT @AlxWrghtTwtr: A wonderful example of empathy and kindness in the midst of a crisis, specifically aimed at children who might not fully…",FALSE,0,NA,2020-04-07 14:24:17,FALSE,NA,"1247530639559016450",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","seidr19",3,TRUE,FALSE,NA,NA
"RT @Reuters: New Zealand demotes minister for coronavirus lockdown breach, extends emergency https://t.co/wxPtHd5uXT Follow the latest news…",FALSE,0,NA,2020-04-07 14:20:54,FALSE,NA,"1247529790745149448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","r_quazzy",62,TRUE,FALSE,NA,NA
"Coronavirus: NZ health minister breaks lockdown at beach via @BBCNews 
https://t.co/XTHKjA4OTS
#NZ #NewZealand… https://t.co/kFBUAfDGxM",FALSE,0,NA,2020-04-07 14:19:23,TRUE,NA,"1247529409361272832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChuckDalldorf",0,FALSE,FALSE,NA,NA
"Congratulations, New Zealand! For having a federal government who quickly responded! I'm jealous!! 👍👌

#coronavirus… https://t.co/ClbZKOgcPP",FALSE,0,NA,2020-04-07 14:17:02,TRUE,NA,"1247528817222021120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thegreghull",0,FALSE,FALSE,NA,NA
"RT @AlxWrghtTwtr: A wonderful example of empathy and kindness in the midst of a crisis, specifically aimed at children who might not fully…",FALSE,0,NA,2020-04-07 14:13:10,FALSE,NA,"1247527843388518406",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kipkesgard",3,TRUE,FALSE,NA,NA
"Absolutely love this message from the #NewZealand Prime minister. The #EasterBunny is a #keyworker but he may be bu… https://t.co/HL1JulB68i",FALSE,1,NA,2020-04-07 13:59:47,TRUE,NA,"1247524475286872068",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","championgeek",0,FALSE,FALSE,NA,NA
"A wonderful example of empathy and kindness in the midst of a crisis, specifically aimed at children who might not… https://t.co/51pJtBJTFT",FALSE,3,NA,2020-04-07 13:59:05,TRUE,NA,"1247524298115276800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlxWrghtTwtr",3,FALSE,FALSE,NA,NA
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 13:56:54,FALSE,NA,"1247523749923971073",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PawstinTexas",106,TRUE,FALSE,NA,NA
"RT @Reuters: New Zealand demotes minister for coronavirus lockdown breach, extends emergency https://t.co/IFH2m6xZ04 Follow our live blog f…",FALSE,0,NA,2020-04-07 13:53:29,FALSE,NA,"1247522892067123202",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NikiJ4",85,TRUE,FALSE,NA,NA
"RT @TonyMonaco: You gotta love #NewZealand Prime Minister @jacindaardern who eased the concern of children and officially added the #Easter…",FALSE,0,NA,2020-04-07 13:48:33,FALSE,NA,"1247521647772307458",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bluejayfan78",3,TRUE,FALSE,NA,NA
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 13:43:58,FALSE,NA,"1247520496066887680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gennie112",106,TRUE,FALSE,NA,NA
"Jacinda Ardern: 'Tooth Fairy and Easter bunny are essential workers' https://t.co/12drB9sUPA 
#toothfairy… https://t.co/ve8DXZLzQ1",FALSE,0,NA,2020-04-07 13:41:01,TRUE,NA,"1247519753242939392",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","infoplusdaten",0,FALSE,FALSE,NA,NA
"@HillaryClinton could be in charge right now, just like #Jacinda. Women get the job done! #covid #coronavirus… https://t.co/e37U18zOmO",FALSE,0,"HillaryClinton",2020-04-07 13:40:50,TRUE,NA,"1247519705847328770","1339835893","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","freewomen4ever",0,FALSE,FALSE,NA,NA
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 13:35:38,FALSE,NA,"1247518398252285957",NA,"<a href=""http://getfalcon.pro"" rel=""nofollow"">Falcon Pro Material</a>","thom_thu",106,TRUE,FALSE,NA,NA
"RT @PMPmagToday: 3 reasons why @JacindaArdern’s #coronavirus response has been a masterclass in #CrisisLeadership, according to Dr @SuzeWil…",FALSE,0,NA,2020-04-07 13:34:31,FALSE,NA,"1247518115660877824",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PMPmagToday",2,TRUE,FALSE,NA,NA
"Three reasons why #NewZealand Prime-minister Jacinda Ardern's coronavirus response has been a #masterclass in… https://t.co/SqvpOScPEm",FALSE,0,NA,2020-04-07 13:33:35,TRUE,NA,"1247517883900534784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vprmm",0,FALSE,FALSE,NA,NA
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 13:32:31,FALSE,NA,"1247517611723800577",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","annackeenan",106,TRUE,FALSE,NA,NA
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 13:28:45,FALSE,NA,"1247516664461058049",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PatmoreLorraine",106,TRUE,FALSE,NA,NA
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 13:26:20,FALSE,NA,"1247516057360891906",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dubenku",106,TRUE,FALSE,NA,NA
"RT @Reuters: New Zealand demotes minister for coronavirus lockdown breach, extends emergency https://t.co/wxPtHd5uXT Follow the latest news…",FALSE,0,NA,2020-04-07 13:22:56,FALSE,NA,"1247515202150514691",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","david_lunt",62,TRUE,FALSE,NA,NA
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 13:20:03,FALSE,NA,"1247514476372545536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DharleneValeda",106,TRUE,FALSE,NA,NA
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 13:19:32,FALSE,NA,"1247514347313590273",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IbnNoor5",106,TRUE,FALSE,NA,NA
"RT @GENESSSA: #Political #leadership demonstrated by the #postergirl of #worldleaders . You have got to admire this woman and what she stan…",FALSE,0,NA,2020-04-07 13:18:48,FALSE,NA,"1247514162433007617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheMarvinCohen",1,TRUE,FALSE,NA,NA
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 13:18:15,FALSE,NA,"1247514024234926080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","seinenkel35",106,TRUE,FALSE,NA,NA
"RT @TonyMonaco: You gotta love #NewZealand Prime Minister @jacindaardern who eased the concern of children and officially added the #Easter…",FALSE,0,NA,2020-04-07 13:17:37,FALSE,NA,"1247513862917763072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","babygurlbyrne",3,TRUE,FALSE,NA,NA
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 13:17:02,FALSE,NA,"1247513718952538113",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","pi_lizzie",106,TRUE,FALSE,NA,NA
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 13:16:24,FALSE,NA,"1247513557924581376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lily_flower101",106,TRUE,FALSE,NA,NA
"#NewZealand demoted its health minister after he took his family to the beach on the first weekend of the country's… https://t.co/n3t0fzTXoC",FALSE,8,NA,2020-04-07 13:15:00,TRUE,NA,"1247513204500000768",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BiIndia",2,FALSE,FALSE,NA,NA
"#NewZealand PM gets it right. Deems #EasterBunny an ""essential worker.""  #Easter #employment #jobs #coronavirus https://t.co/AmsKut96pI",FALSE,0,NA,2020-04-07 13:13:33,FALSE,NA,"1247512840136806401",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","Bob_Lyons",0,FALSE,FALSE,NA,NA
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 13:12:08,FALSE,NA,"1247512484036202503",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NashFlin",106,TRUE,FALSE,NA,NA
"RT @sanjanah: Couldn't agree more | Three reasons why Jacinda Ardern’s coronavirus response has been a masterclass in crisis leadership htt…",FALSE,0,NA,2020-04-07 13:07:04,FALSE,NA,"1247511210846650369",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","supulbandara",10,TRUE,FALSE,NA,NA
"RT @TonyMonaco: You gotta love #NewZealand Prime Minister @jacindaardern who eased the concern of children and officially added the #Easter…",FALSE,0,NA,2020-04-07 13:04:41,FALSE,NA,"1247510607122903041",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Z1035Toronto",3,TRUE,FALSE,NA,NA
"You gotta love #NewZealand Prime Minister @jacindaardern who eased the concern of children and officially added the… https://t.co/PSO3V9rIcy",FALSE,11,NA,2020-04-07 13:04:07,TRUE,NA,"1247510466286493698",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TonyMonaco",3,FALSE,FALSE,NA,NA
"RT @Alex_Verbeek: 🐣 

I love this 😂

New Zealand PM Ardern tells children that the Easter Bunny is an ""essential worker"" and will not be re…",FALSE,0,NA,2020-04-07 13:00:42,FALSE,NA,"1247509606739275776",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","GreenEntreprise",106,TRUE,FALSE,NA,NA
"RT @_hannnnah_: What's with these HEALTH ministers? Another one breaks #coronavirus lockdown laws!
(But he doesn't get sacked!)

'I've been…",FALSE,0,NA,2020-04-07 12:57:23,FALSE,NA,"1247508773561929728",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","EylesGeoff",1,TRUE,FALSE,NA,NA
