"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @AsyadGroupOman: Check our weekly direct lines between #Oman and #Japan / #SouthKorea
 
📍Yokohama
📍Busan
📍Gwangyang
 
To find out more a…",FALSE,0,NA,2020-04-07 15:24:44,FALSE,NA,"1247545852299743233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alsyabi3",11,TRUE,FALSE,NA,NA
"RT @NamiKim_DogsSK: Life at #SaveKoreanDogs Shelter

""Glad they don't know what's going on out in the world, in a little isolated kingdom o…",FALSE,0,NA,2020-04-07 15:14:48,FALSE,NA,"1247543352901263361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marymuscat5",80,TRUE,FALSE,NA,NA
"Health Update By :
https://t.co/AcIgR6d2il
.
#CoronaVirus #corona #china #italy #iran #spain #germany #southkorea… https://t.co/lTOABvxtpz",FALSE,1,NA,2020-04-07 15:05:11,TRUE,NA,"1247540932993409025",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","commoditytips_",0,FALSE,FALSE,NA,NA
"RT @directornola: COVID-19 Quarantine Day 2 of 14 Vlog #COVID19 #CoronavirusPandemic #coronavirus #rona #SouthKorea @YouTube 
https://t.co/…",FALSE,0,NA,2020-04-07 15:03:09,FALSE,NA,"1247540424073302018",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","anferneemuhzeke",3,TRUE,FALSE,NA,NA
"RT @globaltimesnews: ""We are brothers, we are one."" Chinese singer #LayZhang donated 20 million KRW ($16,664) to #SouthKorea toward those a…",FALSE,0,NA,2020-04-07 14:58:35,FALSE,NA,"1247539274997628929",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Zyx0622",4565,TRUE,FALSE,NA,NA
"COVID-19 In #SouthKorea: April Election To Go Ahead With Gloves, Temperature Checks : Coronavirus Live Updates : ⁦… https://t.co/7QkQafpBrJ",FALSE,1,NA,2020-04-07 13:40:13,TRUE,NA,"1247519549316108288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Korea_Center",0,FALSE,FALSE,NA,NA
"@ArlenHansen @BigRig_Trader @veritasvatillum @WolfOfWeedST You missed one 
https://t.co/bDQ6ZzMt7J… https://t.co/W3LRxV5zXw",FALSE,1,"ArlenHansen",2020-04-07 13:35:01,TRUE,"1247505862467260416","1247518242421133312","331289182","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RiverdalkidD",1,FALSE,FALSE,NA,NA
"RT @DrTaraO: Taiwan banned entry from China early on.  The Moon Jae-in admin of #SouthKorea never did, despite multi calls by the Korean Me…",FALSE,0,NA,2020-04-07 13:22:27,FALSE,NA,"1247515079613935618",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NYcacher",21,TRUE,FALSE,NA,NA
"A terrible &amp; sad milestone for #America - 10,000+ people dead from #Covid_19. Cities &amp; states struggling with numbe… https://t.co/dsVI0M3Y77",FALSE,0,NA,2020-04-07 13:19:22,TRUE,NA,"1247514302598098946",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SmartUSAPat1",0,FALSE,FALSE,NA,NA
"Wow. What a different response.

#Test #Trace #Tracking #trackingCovid19 

No #lockdown needed in S. Korea as a res… https://t.co/dPhI7EWtUb",FALSE,0,NA,2020-04-07 13:12:56,TRUE,NA,"1247512685090156547",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","angeladunning",0,FALSE,FALSE,NA,NA
"2019 coronavirus: The Korean clusters https://t.co/KudhCyrEAe",FALSE,0,NA,2020-04-07 13:10:34,FALSE,NA,"1247512091646443521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KeechA13",0,FALSE,FALSE,NA,NA
"#SouthKorea #Coronavirus

477,304 tested
10,331 positive 
192 fatalities

2.16% positive rate tested pop
0.04% mort… https://t.co/qNbgDGabUQ",FALSE,1,"paulburrer",2020-04-07 12:50:24,TRUE,"1247149170248613890","1247507016668635136","16273859","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paulburrer",0,FALSE,FALSE,NA,NA
"RT @encoreedusud: 🇰🇷 51 recovered #COVID19 patients test positive a 2nd time in #SouthKorea amid fears coronavirus can hide in human cells…",FALSE,0,NA,2020-04-07 12:48:05,FALSE,NA,"1247506431525486597",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tucano70",4,TRUE,FALSE,NA,NA
