"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @codepo8: 👉🏻 “Coronavirus: Spain to become first country in Europe to roll out universal basic income”

🔗 https://t.co/xoePXcWKGO

Smart…",FALSE,0,NA,2020-04-07 13:46:47,FALSE,NA,"1247521205382295553",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","gerichtsfest",2,TRUE,FALSE,NA,NA
"RT @amnesty: Spain has announced that is to become the first country in the EU to introduce the Universal Basic Income. This basic income i…",FALSE,0,NA,2020-04-07 13:46:45,FALSE,NA,"1247521196796547080",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","callenet",31,TRUE,FALSE,NA,NA
"RT @Public_Citizen: Rise in health insurance premiums due to coronavirus:

USA - up to 40%
Australia 0%
Belgium 0%
Canada 0%
Chile 0%
Denma…",FALSE,0,NA,2020-04-07 13:46:44,FALSE,NA,"1247521191906037765",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ILLICITILITHID",2191,TRUE,FALSE,NA,NA
"RT @amnesty: Spain has announced that is to become the first country in the EU to introduce the Universal Basic Income. This basic income i…",FALSE,0,NA,2020-04-07 13:46:41,FALSE,NA,"1247521180321337345",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","s_azam78",31,TRUE,FALSE,NA,NA
"RT @ligomersall: Spain to become first country in Europe to roll out a universal basic income and they plan to keep it when the coronavirus…",FALSE,0,NA,2020-04-07 13:46:41,FALSE,NA,"1247521178090000385",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LindaHurrell",73,TRUE,FALSE,NA,NA
"RT @amnesty: Spain has announced that is to become the first country in the EU to introduce the Universal Basic Income. This basic income i…",FALSE,0,NA,2020-04-07 13:46:40,FALSE,NA,"1247521174877159424",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ClydJustin",30,TRUE,FALSE,NA,NA
"RT @amnesty: Spain has announced that is to become the first country in the EU to introduce the Universal Basic Income. This basic income i…",FALSE,0,NA,2020-04-07 13:46:38,FALSE,NA,"1247521166459203584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ali_asgher14",31,TRUE,FALSE,NA,NA
"RT @Public_Citizen: Rise in health insurance premiums due to coronavirus:

USA - up to 40%
Australia 0%
Belgium 0%
Canada 0%
Chile 0%
Denma…",FALSE,0,NA,2020-04-07 13:46:37,FALSE,NA,"1247521160411021319",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WalkswithElsa",2191,TRUE,FALSE,NA,NA
"RT @amnesty: Spain has announced that is to become the first country in the EU to introduce the Universal Basic Income. This basic income i…",FALSE,0,NA,2020-04-07 13:46:36,FALSE,NA,"1247521156497731584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nadeem99_",31,TRUE,FALSE,NA,NA
"RT @catalannews: #BREAKING: Uptick in deaths and new cases of coronavirus in Spain 

734 more deaths in the last day ➡️ Total now rises to…",FALSE,0,NA,2020-04-07 13:46:34,FALSE,NA,"1247521147849191424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nil_Cat1",6,TRUE,FALSE,NA,NA
"""Mr. Costa has been warning that Portugal could face more pain, but Dr. Rodríguez Artalejo said that Portugal so fa… https://t.co/IJXP1a5RjC",FALSE,0,NA,2020-04-07 13:46:33,TRUE,NA,"1247521143398912004",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","alex_d_guerra",0,FALSE,FALSE,NA,NA
"RT @amnesty: Spain has announced that is to become the first country in the EU to introduce the Universal Basic Income. This basic income i…",FALSE,0,NA,2020-04-07 13:46:33,FALSE,NA,"1247521143193550848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lizannemayers",31,TRUE,FALSE,NA,NA
