"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @cleverly51: Coronavirus (COVID 19): list of online education resources for home education - https://t.co/ykP1b07xx0 https://t.co/huquxa…",FALSE,0,NA,2020-04-07 13:47:04,FALSE,NA,"1247521275582414853",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MartynReah",4,TRUE,FALSE,NA,NA
"RT @Rachael_Swindon: Test, test, test? 

Fresh doubts over government pledge of 100,000 daily coronavirus tests with warning that technolog…",FALSE,0,NA,2020-04-07 13:47:04,FALSE,NA,"1247521274823192576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Babz1612",22,TRUE,FALSE,NA,NA
"RT @telebusiness: ""A shutdown lasting 3+ months will cause economic and financial system failure, so we're in the lap of the gods at this p…",FALSE,0,NA,2020-04-07 13:47:04,FALSE,NA,"1247521274462523394",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TELEmarketing4U",7,TRUE,FALSE,NA,NA
"RT @KeepSafeUK1: New on the Keep Safe website, our easy read version of the Prime Minister's letter to the nation. Download it now. #easyre…",FALSE,0,NA,2020-04-07 13:47:04,FALSE,NA,"1247521273409724416",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","imago_community",6,TRUE,FALSE,NA,NA
"if this isn't the best thing you read about coronavirus, you're doing well. #buyapaper
https://t.co/J2qb5kzRKP",FALSE,0,NA,2020-04-07 13:47:03,FALSE,NA,"1247521272554127360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rolandwatson66",0,FALSE,FALSE,NA,NA
"Care workers hide uniforms after being spat at and called 'carriers of death' https://t.co/VH2pCcF3Ih",FALSE,0,NA,2020-04-07 13:47:03,FALSE,NA,"1247521272466046982",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","dominiquedavie5",0,FALSE,FALSE,NA,NA
"Martin Lewis offers good news on furlough for parents affected by school closures https://t.co/ww0lLk8xW5",FALSE,0,NA,2020-04-07 13:47:03,FALSE,NA,"1247521271866261506",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","PFNewsUK",0,FALSE,FALSE,NA,NA
"British workers
 'among worst idlers', suggest Tory MPs - BBC News.       2012 

#DominicRaab ⁦@DominicRaab⁩ #covid… https://t.co/SDhcsnxVix",FALSE,0,NA,2020-04-07 13:47:03,TRUE,NA,"1247521271614595074",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Allchanges",0,FALSE,FALSE,NA,NA
"RT @WiredUK: With the world in lockdown, social games such as Nintendo's Animal Crossing are enjoying huge success – in Hong Kong, protesto…",FALSE,0,NA,2020-04-07 13:47:03,FALSE,NA,"1247521271463567367",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lovehamsters2",75,TRUE,FALSE,NA,NA
"RT @EyesOnQ: 'I’m so scared right now': Prince Andrew accuser Virginia Roberts, 36, tweets from her hospital bed as she is tested for coron…",FALSE,0,NA,2020-04-07 13:47:03,FALSE,NA,"1247521271379660802",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","k_texan",856,TRUE,FALSE,NA,NA
"RT @LBC: If you want to know what it's like to work as a nurse in an intensive care ward during the coronavirus crisis, listen to this rema…",FALSE,0,NA,2020-04-07 13:47:03,FALSE,NA,"1247521270763159552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RealSaiint",34,TRUE,FALSE,NA,NA
"RT @TowerHamletsNow: We’re continuing to deliver food &amp; grocery boxes to residents in need

So far we’ve delivered food to 254 people in 13…",FALSE,0,NA,2020-04-07 13:47:03,FALSE,NA,"1247521269169491968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ASeasonBanglaD",10,TRUE,FALSE,NA,NA
"Coronavirus: Harrogate school to make 200 visors a day https://t.co/RC0BmECPZF",FALSE,0,NA,2020-04-07 13:47:03,FALSE,NA,"1247521269072814082",NA,"<a href=""https://www.p729.com"" rel=""nofollow"">Graphene</a>","Tweet2Yorkshire",0,FALSE,FALSE,NA,NA
"RT @nytimes: Kate Sellars is one of those volunteers: Before the outbreak, she was planning vacations for wealthy clients at her luxury tra…",FALSE,0,NA,2020-04-07 13:47:02,FALSE,NA,"1247521268569497609",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","blacktom1961",21,TRUE,FALSE,NA,NA
"RT @piersmorgan: BREAKING: Massive spike in UK #coronavirus deaths - 854 more reported in past 24hrs, the highest daily increase so far. 
U…",FALSE,0,NA,2020-04-07 13:47:02,FALSE,NA,"1247521268275896320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PunchXD",558,TRUE,FALSE,NA,NA
"Biggest increase in UK coronavirus deaths with more than 850 in one day  https://t.co/HGTSjn0XQN",FALSE,0,NA,2020-04-07 13:47:02,FALSE,NA,"1247521267369951234",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TonyDeano",0,FALSE,FALSE,NA,NA
"Hundreds of thousands to benefit from 'council tax holiday' during coronavirus pandemic https://t.co/JGFpuJDTZN",FALSE,0,NA,2020-04-07 13:47:02,FALSE,NA,"1247521266791337984",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","PFNewsUK",0,FALSE,FALSE,NA,NA
"RT @RedsTheBest23: The scumbag labour mayor and councillor as had her whip removed.
More action to follow 

Coronavirus: Mayor apologises f…",FALSE,0,NA,2020-04-07 13:47:02,FALSE,NA,"1247521266241695746",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","macioshay",459,TRUE,FALSE,NA,NA
"China lies have 'COST LIVES': Fury erupts at Beijing's coronavirus disinformation | World | News |… https://t.co/tTAZDXdhx2",FALSE,0,NA,2020-04-07 13:47:02,TRUE,NA,"1247521266023587843",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Polly_Politics",0,FALSE,FALSE,NA,NA
"RT @KensingtonRoyal: Our thoughts are with the Prime Minister and his family, who like so many in the UK and around the world are affected…",FALSE,0,NA,2020-04-07 13:47:02,FALSE,NA,"1247521265675423751",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jeff83baldwin",306,TRUE,FALSE,NA,NA
"RT @DailyMirror: Horrified coronavirus nurse loads 40 bodies in car park fridges as mortuary full https://t.co/mzJkP8aTSC https://t.co/KgJb…",FALSE,0,NA,2020-04-07 13:47:02,FALSE,NA,"1247521264941428737",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Mandi_Riseman",1,TRUE,FALSE,NA,NA
"The head of the WHO has condemned as ""racist"" the comments by two French doctors who suggested a vaccine for the co… https://t.co/XKcnK7uSTb",FALSE,0,NA,2020-04-07 13:47:02,TRUE,NA,"1247521264878489601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wdspattmuscol",0,FALSE,FALSE,NA,NA
"RT @DailyMailUK: UK's coronavirus death toll jumps by record-high 854 in a day with 6,227 known victims https://t.co/CQxoueXUGe https://t.c…",FALSE,0,NA,2020-04-07 13:47:02,FALSE,NA,"1247521264828395520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ppeitseb",52,TRUE,FALSE,NA,NA
"RT @MirrorTech: YouTube bans conspiracy theory videos that falsely claim '5G causes coronavirus' https://t.co/reIskHL5ed https://t.co/Tr4fW…",FALSE,0,NA,2020-04-07 13:47:01,FALSE,NA,"1247521264358440961",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","DailyMirror",1,TRUE,FALSE,NA,NA
"BBC News - Coronavirus: Inside an ICU fighting Covid-19 https://t.co/awbbO9UqF6",FALSE,0,NA,2020-04-07 13:47:01,FALSE,NA,"1247521264035495936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gazzaladra_la",0,FALSE,FALSE,NA,NA
"RT @nytimes: When the UK government asked for 250,000 people to help the National Health Service, more than 750,000 signed up. Now a vast v…",FALSE,0,NA,2020-04-07 13:47:01,FALSE,NA,"1247521263062482944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","boomsafary",47,TRUE,FALSE,NA,NA
"Your anxiety might be causing symptoms just like coronavirus | Metro News https://t.co/6gtCPkfdY8",FALSE,0,NA,2020-04-07 13:47:01,FALSE,NA,"1247521262596915201",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","alswrite",0,FALSE,FALSE,NA,NA
"RT @KensingtonRoyal: Our thoughts are with the Prime Minister and his family, who like so many in the UK and around the world are affected…",FALSE,0,NA,2020-04-07 13:47:01,FALSE,NA,"1247521262504529923",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ExileinEngland",306,TRUE,FALSE,NA,NA
"RT @premnsikka: Scary: This study forecasts 152,000 coronavirus related deaths in Europe, including 66,000 for UK (highest in Europe) which…",FALSE,0,NA,2020-04-07 13:47:01,FALSE,NA,"1247521261334347777",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ALabJLab",122,TRUE,FALSE,NA,NA
"RT @nytimes: When the UK government asked for 250,000 people to help the National Health Service, more than 750,000 signed up. Now a vast v…",FALSE,0,NA,2020-04-07 13:47:01,FALSE,NA,"1247521260944281602",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","peter4buckley",47,TRUE,FALSE,NA,NA
"RT @Independent: Men are more likely to die of coronavirus, even when women catch it more often. This might be why https://t.co/b9nmAdJmkp",FALSE,0,NA,2020-04-07 13:47:00,FALSE,NA,"1247521260508078086",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RaLySa411",32,TRUE,FALSE,NA,NA
"Child sex abuse podcast brought forward due to coronavirus lockdown https://t.co/55S9d3nqeA",FALSE,0,NA,2020-04-07 13:47:00,FALSE,NA,"1247521257530093571",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ProlificNorth",0,FALSE,FALSE,NA,NA
"Tenants must not presume the coronavirus outbreak is ""a green light"" to stop paying their rent says @NRLAssociation https://t.co/Qb3oHJAIfW",FALSE,0,NA,2020-04-07 13:47:00,FALSE,NA,"1247521257379291136",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SHPcharity",0,FALSE,FALSE,NA,NA
"Our coronavirus home page links to updates from agencies across our area and has all the latest on changes to our s… https://t.co/yjMMRvwJ9u",FALSE,0,NA,2020-04-07 13:47:00,TRUE,NA,"1247521257362468865",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Cherwellcouncil",0,FALSE,FALSE,NA,NA
"RT @people: U.K. Prime Minister with Coronavirus Is 'Stable' After Moving to ICU Because He 'Worsened' https://t.co/LKGCOxKELN",FALSE,0,NA,2020-04-07 13:47:00,FALSE,NA,"1247521256385077253",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","jennifertokyo",5,TRUE,FALSE,NA,NA
"RT @BBCWorld: YouTube bans all conspiracy theory videos falsely linking coronavirus symptoms to 5G networks

https://t.co/MKvnMTi399",FALSE,0,NA,2020-04-07 13:46:59,FALSE,NA,"1247521256196337666",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CoolStuff21",531,TRUE,FALSE,NA,NA
"Workspace sees slowdown in lettings activity in March due to COVID-19 https://t.co/0sYwoQxBWr",FALSE,0,NA,2020-04-07 13:46:59,FALSE,NA,"1247521256041107462",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Searchline03",0,FALSE,FALSE,NA,NA
"RT @Public_Citizen: Rise in health insurance premiums due to coronavirus:

USA - up to 40%
Australia 0%
Belgium 0%
Canada 0%
Chile 0%
Denma…",FALSE,0,NA,2020-04-07 13:46:59,FALSE,NA,"1247521255378558976",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","whirligig",2193,TRUE,FALSE,NA,NA
"RT @LaylaMoran: All key workers from overseas should be granted indefinite leave to remain and citizenship - it's the least we can do, and…",FALSE,0,NA,2020-04-07 13:46:59,FALSE,NA,"1247521254380163076",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","neighbour_kx",289,TRUE,FALSE,NA,NA
"RT @BBCLeicester: 📻The @Ady_Dayman Show 2-6

🦠Keeping YOU updated with everything YOU need to know about Coronavirus

🗣@Anders_Mankert &amp; @G…",FALSE,0,NA,2020-04-07 13:46:59,FALSE,NA,"1247521253793005568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RachWilliams0n",4,TRUE,FALSE,NA,NA
"RT @SueSuezep: Tories rejected advice to give protective equipment to all frontline NHS staff, memo reveals https://t.co/DBBYobv06E",FALSE,0,NA,2020-04-07 13:46:58,FALSE,NA,"1247521251700047877",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SufferForMe2018",71,TRUE,FALSE,NA,NA
