"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @AndrewPollackFL: This is why I would rather…

Pay a bit more for products Made in the USA

Instead of…

Paying less for cheap products…",FALSE,0,NA,2020-04-07 14:10:35,FALSE,NA,"1247527191862075395",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GenAlb012",169,TRUE,FALSE,NA,NA
"RT @MyDoncaster: In November 1970, officials in Oregon, USA decided to blow up a rotting whale carcass. The whole thing went horribly wrong…",FALSE,0,NA,2020-04-07 14:10:34,FALSE,NA,"1247527188078837766",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TrumpMuv2Russia",40933,TRUE,FALSE,NA,NA
"RT @JamesWillby: UK statistics are *appalling*. 50,000+ Coronavirus cases &amp; 5,000 deaths is a mortality rate around  10%. Even the USA has…",FALSE,0,NA,2020-04-07 14:10:29,FALSE,NA,"1247527168353005577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jacqui703",372,TRUE,FALSE,NA,NA
"RT @liberatehkg: “HK” Phoenix TV is 0% HK, 100% Chinese, on a mission to spread China’s misinformation. HK ALWAYS SUPPORTS USA. MAKE CHINA…",FALSE,0,NA,2020-04-07 14:10:28,FALSE,NA,"1247527162405474304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","openlemonj",59,TRUE,FALSE,NA,NA
"RT @GregMannarino: Trump says considering second round of direct payments to Americans https://t.co/JgsXPqFabv",FALSE,0,NA,2020-04-07 14:10:24,FALSE,NA,"1247527147536711684",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SHXRP559",10,TRUE,FALSE,NA,NA
"It's Tues, April 7th, 10:00am
Total cases USA: 368,449
Deaths: 10,993

It's Tues, March 24th 1:20pm.
Total cases US… https://t.co/UhmtAiMdPL",FALSE,0,NA,2020-04-07 14:10:16,TRUE,NA,"1247527115429269507",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MariaNYC",0,FALSE,FALSE,NA,NA
"RT @julienpotet: New clinical trial in USA will evaluate anti-clotting treatment (recombinant-tPA) in #COVID19 patients with ARDS.

This fo…",FALSE,0,NA,2020-04-07 14:10:15,FALSE,NA,"1247527108592553990",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AlexRuebben",2,TRUE,FALSE,NA,NA
"RT @MigunaMiguna: 1) Bringing #COVID19 to Kenya via direct flights from China, USA and Italy.

2) Forcing Captain Kibati to import coronavi…",FALSE,0,NA,2020-04-07 14:10:13,FALSE,NA,"1247527100006842368",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","charlowy",13,TRUE,FALSE,NA,NA
"The USA reached a grim milestone in its fight against the #coronavirus Monday: More than 10,000 people have died of… https://t.co/2nvDOibh7I",FALSE,0,NA,2020-04-07 14:10:09,TRUE,NA,"1247527083296698380",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amarilloglobe",0,FALSE,FALSE,NA,NA
"RT @Reuters: The governors of New York, New Jersey and Louisiana pointed to tentative signs on Monday that the coronavirus outbreak may be…",FALSE,0,NA,2020-04-07 14:10:07,FALSE,NA,"1247527077915406338",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Rx67Perrin",30,TRUE,FALSE,NA,NA
